Polarity,Subjectivity,Positive,Neutral,Negative,Rating
0.3505555555555555,0.6090740740740741,9,4,2,5
0.24729064039408868,0.50207991242474,17,9,3,4
0.21366666666666667,0.553,6,4,0,5
0.2848958333333333,0.6625,4,1,3,4
-0.5,0.6533333333333333,0,1,4,1
0.22065217391304348,0.3800724637681159,14,7,2,5
0.041041666666666664,0.5308333333333333,10,8,6,2
0.28841991341991347,0.5056277056277056,8,2,1,4
0.5254578754578755,0.6906593406593408,12,0,1,5
0.5122023809523809,0.6512301587301588,18,1,1,5
0.18241003787878787,0.42695707070707073,9,5,2,4
0.2785714285714286,0.6095238095238095,5,1,1,4
-0.05000000000000001,0.20000000000000004,0,3,3,2
0.2348252937538652,0.5325525664811379,20,6,2,4
-0.14312278630460448,0.5711924439197166,4,2,5,1
0.28520229770229777,0.5418553668553668,19,2,5,4
-0.3333333333333332,0.7444444444444445,1,0,2,1
0.2962121212121212,0.5909090909090909,8,2,1,4
0.23887169032517858,0.5276200543642403,28,7,8,5
0.11333333333333334,0.6062962962962962,8,2,5,1
0.02254901960784314,0.6039215686274509,6,5,6,1
0.10347222222222224,0.49374999999999997,5,2,5,4
0.035294117647058816,0.4882352941176471,7,3,7,3
-0.062247474747474746,0.5406565656565656,4,2,6,1
0.33877551020408164,0.36734693877551017,5,2,0,5
0.3555871212121212,0.5589015151515151,7,0,1,4
0.05030303030303031,0.3904545454545455,3,3,4,5
0.035185185185185194,0.6277777777777778,5,2,2,2
0.02467532467532469,0.6655844155844157,4,1,2,4
0.13443362193362193,0.436075036075036,9,5,4,5
0.2515151515151515,0.3967532467532468,6,5,0,2
0.14895833333333336,0.5104166666666667,10,3,3,3
0.31978609625668447,0.6095811051693406,13,2,2,4
0.15588860544217684,0.46989022881880027,16,5,7,2
0.18707251082251083,0.5312036178107606,42,12,16,1
0.3021289424860853,0.6368793111650254,24,3,8,4
0.21793650793650793,0.47441798941798935,9,3,3,4
0.16625874125874124,0.6138111888111888,7,3,3,1
0.212027417027417,0.44323953823953827,7,5,3,3
-0.1314102564102564,0.4666666666666667,4,2,7,1
0.5814814814814815,0.8055555555555556,9,0,0,3
0.34417207792207793,0.6239069264069264,14,4,2,5
0.34761904761904766,0.405952380952381,6,0,0,4
-0.21655011655011652,0.5328671328671329,4,8,14,1
0.16780303030303031,0.5384383347149302,55,20,19,4
0.1661845730027548,0.5155647382920111,12,5,5,5
0.45633608815426996,0.6807162534435262,9,2,0,5
0.27119859307359306,0.6656619769119769,13,3,4,4
0.37603305785123964,0.6164971392244118,7,2,2,5
0.2518518518518519,0.638888888888889,6,0,3,4
0.3772817460317461,0.6613095238095238,9,3,0,5
0.425,0.6749999999999998,6,1,1,5
0.17319311123658948,0.5974794529142354,14,3,6,2
0.29122821622821626,0.6094359344359344,24,8,7,4
0.07344877344877349,0.6013107263107262,9,5,4,1
0.10479797979797982,0.4946969696969697,12,1,5,1
0.5097402597402598,0.6673881673881673,12,1,1,5
0.23734567901234563,0.44589947089947085,15,9,3,5
0.34037433155080216,0.6737967914438505,13,2,2,5
0.1811188811188811,0.4765599784830554,14,8,4,5
0.47907925407925417,0.7118881118881119,12,1,0,5
0.07839506172839508,0.5987654320987653,12,2,13,2
0.07077352472089314,0.5242993848257005,6,8,5,2
0.2711458333333333,0.7134027777777779,17,1,6,4
0.1334577922077922,0.5456926406926408,5,2,3,3
0.12790462225946098,0.42935111483498584,17,10,4,4
0.14625,0.5531944444444445,11,4,5,4
0.17753535353535355,0.47574747474747475,8,5,2,5
0.1662878787878788,0.5137700534759359,10,3,4,4
0.15833333333333333,0.48782051282051275,6,3,4,5
0.23209876543209879,0.6351851851851852,11,2,5,2
0.4527777777777778,0.6083333333333334,13,3,2,5
-0.02705086580086582,0.6571320346320346,10,1,9,3
0.15942760942760942,0.5928451178451178,10,2,6,4
0.043761904761904766,0.6110476190476191,14,6,5,1
-0.43333333333333335,0.6833333333333332,1,1,4,1
-0.043658008658008646,0.5818939393939394,9,2,9,2
0.3546657046657047,0.6916546416546417,14,2,2,4
0.04137738997113996,0.4232399949587449,19,18,11,1
0.13214285714285715,0.5142857142857142,5,6,3,2
0.13506493506493514,0.5264069264069263,14,1,6,3
0.34193939393939404,0.6985757575757577,20,1,4,5
